created_at,entry_id,field1
2024-04-09T02:44:20+05:30,845,0.09
2024-04-09T02:44:26+05:30,847,0.08
2024-04-09T02:44:31+05:30,849,0.1
2024-04-09T02:44:36+05:30,851,0.1
2024-04-09T02:44:42+05:30,853,0.09
2024-04-09T02:44:47+05:30,855,0.09
2024-04-09T02:44:52+05:30,857,0.08
2024-04-09T02:44:58+05:30,859,0.1
2024-04-09T02:45:03+05:30,861,0.09
2024-04-09T02:45:08+05:30,863,0.09
2024-04-09T02:45:13+05:30,865,0.09
2024-04-09T02:45:19+05:30,867,0.09
2024-04-09T02:45:24+05:30,869,1.79
2024-04-09T02:45:29+05:30,871,1.82
2024-04-09T02:45:35+05:30,873,2.03
2024-04-09T02:45:40+05:30,875,2.86
2024-04-09T02:45:45+05:30,877,2.19
2024-04-09T02:45:51+05:30,879,1.43
2024-04-09T02:45:56+05:30,881,1.65
2024-04-09T02:46:01+05:30,883,2.45
2024-04-09T02:46:07+05:30,885,0.07
2024-04-09T02:46:12+05:30,887,0.06
2024-04-09T02:46:17+05:30,889,2.23
2024-04-09T02:46:23+05:30,891,2.82
2024-04-09T02:46:28+05:30,892,1.54
2024-04-09T02:46:33+05:30,894,2.26
2024-04-09T02:46:38+05:30,896,2.74
2024-04-09T02:46:44+05:30,898,0.06
2024-04-09T02:46:49+05:30,900,0.07
2024-04-09T02:46:54+05:30,902,1.17
2024-04-09T02:47:00+05:30,904,1.91
2024-04-09T02:47:05+05:30,906,1.79
2024-04-09T02:47:10+05:30,908,1.16
2024-04-09T02:47:16+05:30,910,1.94
2024-04-09T02:47:21+05:30,912,1.85
2024-04-09T02:47:26+05:30,914,0.07
2024-04-09T02:47:32+05:30,916,0.07
2024-04-09T02:47:37+05:30,918,0.07
2024-04-09T02:47:42+05:30,920,0.08
2024-04-09T02:47:47+05:30,922,0.07
2024-04-09T02:47:53+05:30,924,0.08
2024-04-09T02:47:58+05:30,926,0.06
2024-04-09T02:48:03+05:30,928,0.08
2024-04-09T02:48:09+05:30,930,0.07
2024-04-09T02:48:14+05:30,932,0.08
2024-04-09T02:48:19+05:30,934,0.07
2024-04-09T02:48:25+05:30,936,0.07
2024-04-09T02:48:30+05:30,938,0.07
2024-04-09T02:48:35+05:30,940,0.08
2024-04-09T02:48:40+05:30,942,0.08
2024-04-09T02:48:46+05:30,944,0.07
2024-04-09T02:48:51+05:30,946,0.08
2024-04-09T02:48:56+05:30,948,0.07
2024-04-09T02:49:02+05:30,950,0.07
2024-04-09T02:49:07+05:30,952,0.08
2024-04-09T02:49:12+05:30,954,0.07
2024-04-09T02:49:18+05:30,956,0.07
2024-04-09T02:49:23+05:30,958,0.07
2024-04-09T02:49:28+05:30,960,0.07
2024-04-09T02:49:34+05:30,962,0.07
2024-04-09T02:49:39+05:30,964,0.07
2024-04-09T02:49:44+05:30,966,0.07
2024-04-09T02:49:49+05:30,968,0.06
2024-04-09T02:49:55+05:30,970,2.95
2024-04-09T02:50:00+05:30,972,0.1
2024-04-09T02:50:05+05:30,974,0.1
2024-04-09T02:50:11+05:30,976,0.09
2024-04-09T02:50:16+05:30,978,0.08
2024-04-09T02:50:21+05:30,980,0.09
2024-04-09T02:50:27+05:30,982,0.1
2024-04-09T02:50:32+05:30,984,0.1
2024-04-09T02:50:37+05:30,986,0.09
2024-04-09T02:50:42+05:30,988,0.09
2024-04-09T02:50:48+05:30,990,0.08
2024-04-09T02:50:53+05:30,992,0.09
2024-04-09T02:50:58+05:30,994,0.09
2024-04-09T02:51:04+05:30,996,0.08
2024-04-09T02:51:09+05:30,998,0.09
2024-04-09T02:51:14+05:30,1000,0.09
2024-04-09T02:51:20+05:30,1002,0.1
2024-04-09T02:51:25+05:30,1004,0.09
2024-04-09T02:51:30+05:30,1006,0.08
2024-04-09T02:51:36+05:30,1008,0.09
2024-04-09T02:51:41+05:30,1010,0.08
2024-04-09T02:51:46+05:30,1012,0.09
2024-04-09T02:51:52+05:30,1014,0.08
2024-04-09T02:51:57+05:30,1016,0.08
2024-04-09T02:52:02+05:30,1018,0.09
2024-04-09T02:52:07+05:30,1020,0.09
2024-04-09T02:52:13+05:30,1022,0.09
2024-04-09T02:52:18+05:30,1024,0.08
2024-04-09T02:52:23+05:30,1026,0.09
2024-04-09T02:52:29+05:30,1028,0.09
2024-04-09T02:52:34+05:30,1030,0.09
2024-04-09T02:52:39+05:30,1032,0.1
2024-04-09T02:52:45+05:30,1034,0.09
2024-04-09T02:52:50+05:30,1036,0.09
2024-04-09T02:52:55+05:30,1038,0.09
2024-04-09T02:53:01+05:30,1040,0.09
2024-04-09T02:53:06+05:30,1042,0.09
2024-04-09T02:53:11+05:30,1044,0.09
2024-04-09T02:53:16+05:30,1046,0.09
2024-04-09T02:53:22+05:30,1048,0.09
2024-04-09T02:53:27+05:30,1050,0.1
2024-04-09T02:53:32+05:30,1052,0.1
2024-04-09T02:53:38+05:30,1054,0.08
2024-04-09T02:53:43+05:30,1056,0.09
2024-04-09T02:53:48+05:30,1058,0.09
2024-04-09T02:53:54+05:30,1060,0.1
2024-04-09T02:53:59+05:30,1062,0.08
2024-04-09T02:54:04+05:30,1064,1.82
2024-04-09T02:54:10+05:30,1066,1.53
2024-04-09T02:54:15+05:30,1067,1.59
2024-04-09T02:54:20+05:30,1069,2.13
2024-04-09T02:54:25+05:30,1071,2.92
2024-04-09T02:54:31+05:30,1073,2.04
2024-04-09T02:54:36+05:30,1075,1.53
2024-04-09T02:54:41+05:30,1077,0.06
2024-04-09T02:54:47+05:30,1079,0.07
2024-04-09T02:54:52+05:30,1081,1.29
2024-04-09T02:54:57+05:30,1083,1.51
2024-04-09T02:55:03+05:30,1085,0.07
2024-04-09T02:55:08+05:30,1087,0.09
2024-04-09T02:55:13+05:30,1089,0.09
2024-04-09T02:55:19+05:30,1091,0.09
2024-04-09T02:55:24+05:30,1093,0.07
2024-04-09T02:55:29+05:30,1095,1.02
2024-04-09T02:55:34+05:30,1097,1.53
2024-04-09T02:55:40+05:30,1099,1.8
2024-04-09T02:55:45+05:30,1101,1.35
2024-04-09T02:55:50+05:30,1103,1.63
2024-04-09T02:55:56+05:30,1105,1.75
2024-04-09T02:56:01+05:30,1107,1.15
2024-04-09T02:56:06+05:30,1109,1.72
