created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-04-10T10:12:25+00:00,313,,0.07,,,,
2024-04-10T10:12:28+00:00,314,0.07,,,,,
2024-04-10T10:12:30+00:00,315,,0.04,,,,
2024-04-10T10:12:34+00:00,316,0.08,,,,,
2024-04-10T10:12:35+00:00,317,,0.07,,,,
2024-04-10T10:12:39+00:00,318,0.08,,,,,
2024-04-10T10:12:40+00:00,319,,0.06,,,,
2024-04-10T10:12:44+00:00,320,0.08,,,,,
2024-04-10T10:12:46+00:00,321,,0.07,,,,
2024-04-10T10:12:49+00:00,322,0.09,,,,,
2024-04-10T10:12:51+00:00,323,,0.07,,,,
2024-04-10T10:12:54+00:00,324,0.1,,,,,
2024-04-10T10:12:56+00:00,325,,0.08,,,,
2024-04-10T10:12:59+00:00,326,0.08,,,,,
2024-04-10T10:13:01+00:00,327,,0.06,,,,
2024-04-10T10:13:04+00:00,328,0.07,,,,,
2024-04-10T10:13:06+00:00,329,,0.05,,,,
2024-04-10T10:13:09+00:00,330,0.06,,,,,
2024-04-10T10:13:11+00:00,331,,0.06,,,,
2024-04-10T10:13:14+00:00,332,0.07,,,,,
2024-04-10T10:13:16+00:00,333,,0.08,,,,
2024-04-10T10:13:20+00:00,334,0.07,,,,,
2024-04-10T10:13:22+00:00,335,,0.09,,,,
2024-04-10T10:13:25+00:00,336,0.08,,,,,
2024-04-10T10:13:27+00:00,337,,0.06,,,,
2024-04-10T10:13:30+00:00,338,0.06,,,,,
2024-04-10T10:13:32+00:00,339,,0.06,,,,
2024-04-10T10:13:35+00:00,340,0.06,,,,,
2024-04-10T10:13:37+00:00,341,,0.07,,,,
2024-04-10T10:13:40+00:00,342,0.09,,,,,
2024-04-10T10:13:42+00:00,343,,0.08,,,,
2024-04-10T10:13:45+00:00,344,0.08,,,,,
2024-04-10T10:13:47+00:00,345,,0.09,,,,
2024-04-10T10:13:50+00:00,346,0.09,,,,,
2024-04-10T10:13:52+00:00,347,,0.07,,,,
2024-04-10T10:13:56+00:00,348,0.07,,,,,
2024-04-10T10:13:58+00:00,349,,0.06,,,,
2024-04-10T10:14:01+00:00,350,0.08,,,,,
2024-04-10T10:14:03+00:00,351,,0.07,,,,
2024-04-10T10:14:06+00:00,352,0.06,,,,,
2024-04-10T10:14:08+00:00,353,,0.05,,,,
2024-04-10T10:14:11+00:00,354,0.1,,,,,
2024-04-10T10:14:13+00:00,355,,0.09,,,,
2024-04-10T10:14:16+00:00,356,0.07,,,,,
2024-04-10T10:14:18+00:00,357,,0.07,,,,
2024-04-10T10:14:21+00:00,358,0.08,,,,,
2024-04-10T10:14:23+00:00,359,,0.8,,,,
2024-04-10T10:14:26+00:00,360,0.08,,,,,
2024-04-10T10:14:28+00:00,361,,1.85,,,,
2024-04-10T10:14:31+00:00,362,0.08,,,,,
2024-04-10T10:14:33+00:00,363,,1.47,,,,
2024-04-10T10:14:37+00:00,364,1.51,,,,,
2024-04-10T10:14:39+00:00,365,,0.7,,,,
2024-04-10T10:14:42+00:00,366,2.23,,,,,
2024-04-10T10:14:44+00:00,367,,1.88,,,,
2024-04-10T10:14:47+00:00,368,1.73,,,,,
2024-04-10T10:14:49+00:00,369,,1.51,,,,
2024-04-10T10:14:52+00:00,370,1.55,,,,,
2024-04-10T10:14:54+00:00,371,,1.99,,,,
2024-04-10T10:14:57+00:00,372,2.08,,,,,
2024-04-10T10:14:59+00:00,373,,1.03,,,,
2024-04-10T10:15:02+00:00,374,1.74,,,,,
2024-04-10T10:15:04+00:00,375,,1.87,,,,
2024-04-10T10:15:07+00:00,376,1.62,,,,,
2024-04-10T10:15:09+00:00,377,,1.22,,,,
2024-04-10T10:15:13+00:00,378,1.87,,,,,
2024-04-10T10:15:15+00:00,379,,1.71,,,,
2024-04-10T10:15:18+00:00,380,1.72,,,,,
2024-04-10T10:15:20+00:00,381,,0.05,,,,
2024-04-10T10:15:23+00:00,382,1.76,,,,,
2024-04-10T10:15:25+00:00,383,,0.06,,,,
2024-04-10T10:15:28+00:00,384,1.84,,,,,
2024-04-10T10:15:30+00:00,385,,0.07,,,,
2024-04-10T10:15:33+00:00,386,1.71,,,,,
2024-04-10T10:15:35+00:00,387,,0.05,,,,
2024-04-10T10:15:38+00:00,388,0.06,,,,,
2024-04-10T10:15:40+00:00,389,,0.08,,,,
2024-04-10T10:15:43+00:00,390,3.31,,,,,
2024-04-10T10:15:45+00:00,391,,0.05,,,,
2024-04-10T10:15:49+00:00,392,0.81,,,,,
2024-04-10T10:15:51+00:00,393,,0.09,,,,
2024-04-10T10:15:54+00:00,394,1.58,,,,,
2024-04-10T10:15:56+00:00,395,,0.07,,,,
2024-04-10T10:15:59+00:00,396,2.76,,,,,
2024-04-10T10:16:01+00:00,397,,0.08,,,,
2024-04-10T10:16:04+00:00,398,2.69,,,,,
2024-04-10T10:16:06+00:00,399,,0.07,,,,
2024-04-10T10:16:09+00:00,400,3,,,,,
2024-04-10T10:16:11+00:00,401,,0.08,,,,
2024-04-10T10:16:14+00:00,402,1.34,,,,,
2024-04-10T10:16:16+00:00,403,,0.06,,,,
2024-04-10T10:16:20+00:00,404,1.43,,,,,
2024-04-10T10:16:21+00:00,405,,1.94,,,,
2024-04-10T10:16:25+00:00,406,3.17,,,,,
2024-04-10T10:16:27+00:00,407,,1.09,,,,
2024-04-10T10:16:30+00:00,408,1.14,,,,,
2024-04-10T10:16:32+00:00,409,,1.78,,,,
2024-04-10T10:16:35+00:00,410,1.4,,,,,
2024-04-10T10:16:37+00:00,411,,1.29,,,,
2024-04-10T10:16:40+00:00,412,0.06,,,,,
2024-04-10T10:16:42+00:00,413,,1.69,,,,
2024-04-10T10:16:45+00:00,414,2.03,,,,,
2024-04-10T10:16:47+00:00,415,,1.94,,,,
2024-04-10T10:16:50+00:00,416,3.17,,,,,
2024-04-10T10:16:52+00:00,417,,1.32,,,,
2024-04-10T10:16:55+00:00,418,1.2,,,,,
2024-04-10T10:16:57+00:00,419,,1.38,,,,
2024-04-10T10:17:01+00:00,420,1.54,,,,,
2024-04-10T10:17:03+00:00,421,,1.62,,,,
2024-04-10T10:17:06+00:00,422,3.12,,,,,
2024-04-10T10:17:08+00:00,423,,1.98,,,,
2024-04-10T10:17:11+00:00,424,0.69,,,,,
2024-04-10T10:17:13+00:00,425,,1.01,,,,
2024-04-10T10:17:16+00:00,426,2.17,,,,,
2024-04-10T10:17:18+00:00,427,,1.76,,,,
2024-04-10T10:17:21+00:00,428,1.39,,,,,
2024-04-10T10:17:23+00:00,429,,1.35,,,,
2024-04-10T10:17:26+00:00,430,1.74,,,,,
2024-04-10T10:17:28+00:00,431,,0.07,,,,
2024-04-10T10:17:31+00:00,432,3.07,,,,,
2024-04-10T10:17:33+00:00,433,,1.11,,,,
2024-04-10T10:17:37+00:00,434,1.07,,,,,
2024-04-10T10:17:39+00:00,435,,1.7,,,,
2024-04-10T10:17:42+00:00,436,1.65,,,,,
2024-04-10T10:17:44+00:00,437,,1.43,,,,
2024-04-10T10:17:47+00:00,438,1.74,,,,,
2024-04-10T10:17:49+00:00,439,,1.68,,,,
2024-04-10T10:17:52+00:00,440,2.7,,,,,
2024-04-10T10:17:54+00:00,441,,1.92,,,,
2024-04-10T10:17:57+00:00,442,2.45,,,,,
2024-04-10T10:17:59+00:00,443,,0.92,,,,
2024-04-10T10:18:02+00:00,444,1.39,,,,,
2024-04-10T10:18:04+00:00,445,,1.59,,,,
2024-04-10T10:18:07+00:00,446,1.35,,,,,
2024-04-10T10:18:09+00:00,447,,1.66,,,,
2024-04-10T10:18:13+00:00,448,3.04,,,,,
2024-04-10T10:18:15+00:00,449,,1.91,,,,
2024-04-10T10:18:18+00:00,450,3.05,,,,,
2024-04-10T10:18:20+00:00,451,,1.13,,,,
2024-04-10T10:18:23+00:00,452,1.21,,,,,
2024-04-10T10:18:25+00:00,453,,1.75,,,,
2024-04-10T10:18:28+00:00,454,1.39,,,,,
2024-04-10T10:18:30+00:00,455,,1.45,,,,
